Alpha,Drag,Lift,Cd,Cl,L/D
-4,2.759358707,-48.99356166,0.010375592,-0.184222959,-17.75543766
-3,2.454515999,-22.01419521,0.009241577,-0.082886358,-8.968854354
-2,2.293374668,5.176397523,0.008646275,0.019515589,2.257114317
-1,2.084219599,33.81498606,0.00786819,0.127655802,16.22442524
0,2.510431038,50.20535242,0.009472513,0.189437931,19.9986981
1,2.737138028,88.85458262,0.010282339,0.333791345,32.46258757
2,3.162473049,114.0918741,0.011864794,0.428043675,36.07678966
3,3.538344191,140.3470355,0.013256647,0.525819726,39.66627852
4,4.314907906,168.6806648,0.016142754,0.631061103,39.09359554
5,5.059446672,191.4846914,0.018905226,0.715505393,37.84696617
6,6.583130801,214.5927648,0.024570775,0.80094271,32.59744348
7,7.360405461,243.0196867,0.027430413,0.905674349,33.01716271
8,8.686519685,265.4038928,0.03233527,0.987956844,30.55353611
9,10.34655612,285.0636466,0.038477418,1.060112468,27.5515658
10,12.08019405,300.4639237,0.044891929,1.116571883,24.87250878
11,14.21023455,334.8428805,0.052718476,1.242231884,23.56350379
12,16.15010189,344.6410928,0.059891237,1.278071281,21.33989376
13,19.38459564,329.5422309,0.071969473,1.223496273,17.00051871
14,30.17181807,269.6481368,0.11234217,1.004401393,9.638625106
