alpha,Cl,Cd,Cm
-4.0,-0.201,0.0074,-0.052
-3.0,-0.095,0.0068,-0.051
-2.0,0.012,0.0064,-0.051
-1.0,0.12,0.0062,-0.05
0.0,0.228,0.0061,-0.05
1.0,0.336,0.0062,-0.049
2.0,0.444,0.0064,-0.049
3.0,0.552,0.0067,-0.048
4.0,0.659,0.0071,-0.048
5.0,0.765,0.0076,-0.047
6.0,0.871,0.0083,-0.047
7.0,0.975,0.0091,-0.046
8.0,1.078,0.0101,-0.045
9.0,1.179,0.0113,-0.045
10.0,1.277,0.0127,-0.044
11.0,1.372,0.0145,-0.043
12.0,1.463,0.0167,-0.042
13.0,1.548,0.0196,-0.04
14.0,1.621,0.0237,-0.037
15.0,1.668,0.0298,-0.032
16.0,1.652,0.0412,-0.024
