  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.130     Re =     2.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.2075   0.00672   0.00166  -0.0538   0.8100   0.0829
  -3.500  -0.1511   0.00652   0.00145  -0.0536   0.7820   0.1045
  -3.000  -0.0947   0.00634   0.00128  -0.0535   0.7526   0.1320
  -2.500  -0.0383   0.00618   0.00115  -0.0533   0.7206   0.1656
  -2.000   0.0181   0.00603   0.00104  -0.0532   0.6882   0.2074
  -1.500   0.0745   0.00592   0.00096  -0.0532   0.6546   0.2548
  -1.000   0.1310   0.00581   0.00091  -0.0531   0.6221   0.3089
  -0.500   0.1873   0.00571   0.00089  -0.0531   0.5892   0.3717
   0.000   0.2432   0.00553   0.00089  -0.0530   0.5583   0.4655
   0.500   0.2989   0.00538   0.00092  -0.0529   0.5288   0.5677
   1.000   0.3550   0.00528   0.00098  -0.0527   0.5018   0.6551
   1.500   0.4107   0.00522   0.00107  -0.0525   0.4754   0.7406
   2.000   0.4656   0.00517   0.00118  -0.0520   0.4503   0.8247
   2.500   0.5192   0.00520   0.00133  -0.0511   0.4238   0.8964
   3.000   0.5714   0.00532   0.00148  -0.0499   0.3968   0.9499
   3.500   0.6273   0.00560   0.00166  -0.0495   0.3600   0.9791
   4.000   0.6915   0.00601   0.00188  -0.0513   0.3169   0.9925
   4.500   0.7618   0.00653   0.00217  -0.0545   0.2650   0.9976
   5.000   0.8247   0.00713   0.00252  -0.0562   0.2110   1.0000
   5.500   0.8700   0.00772   0.00288  -0.0540   0.1660   1.0000
   6.000   0.9165   0.00832   0.00329  -0.0520   0.1271   1.0000
   6.500   0.9643   0.00895   0.00375  -0.0504   0.0946   1.0000
   7.000   1.0136   0.00957   0.00423  -0.0491   0.0713   1.0000
   7.500   1.0637   0.01015   0.00473  -0.0479   0.0558   1.0000
   8.000   1.1138   0.01075   0.00526  -0.0468   0.0447   1.0000
   8.500   1.1635   0.01137   0.00583  -0.0456   0.0368   1.0000
   9.000   1.2129   0.01199   0.00643  -0.0444   0.0312   1.0000
   9.500   1.2614   0.01265   0.00708  -0.0431   0.0270   1.0000
  10.000   1.3089   0.01335   0.00778  -0.0416   0.0237   1.0000
  10.500   1.3550   0.01409   0.00854  -0.0399   0.0213   1.0000
  11.000   1.3989   0.01492   0.00939  -0.0380   0.0192   1.0000
  11.500   1.4413   0.01578   0.01027  -0.0358   0.0175   1.0000
  12.000   1.4799   0.01668   0.01123  -0.0330   0.0162   1.0000
  12.500   1.5113   0.01777   0.01236  -0.0291   0.0150   1.0000
  13.000   1.5429   0.01890   0.01358  -0.0255   0.0141   1.0000
  13.500   1.5711   0.02030   0.01504  -0.0218   0.0133   1.0000
  14.000   1.5950   0.02206   0.01690  -0.0181   0.0126   1.0000
